"DateTime","Players","Average Players","Twitch Viewers"
"2014-02-26 00:00:00",6224,,
"2014-02-27 00:00:00",6039,,
"2014-02-28 00:00:00",7497,,
"2014-03-01 00:00:00",19489,,
"2014-03-02 00:00:00",8101,,
"2014-03-03 00:00:00",6622,,
"2014-03-04 00:00:00",6591,,
"2014-03-05 00:00:00",17815,,
"2014-03-06 00:00:00",15744,,
"2014-03-07 00:00:00",18195,,
"2014-03-08 00:00:00",19504,,
"2014-03-09 00:00:00",19571,,
"2014-03-10 00:00:00",15667,,
"2014-03-11 00:00:00",14822,,
"2014-03-12 00:00:00",14660,,
"2014-03-13 00:00:00",13248,,
"2014-03-14 00:00:00",15272,,
"2014-03-15 00:00:00",16685,,
"2014-03-16 00:00:00",16528,,
"2014-03-17 00:00:00",13518,,
"2014-03-18 00:00:00",12661,,
"2014-03-19 00:00:00",12362,,
"2014-03-20 00:00:00",9621,,
"2014-03-21 00:00:00",13166,,
"2014-03-22 00:00:00",14065,,
"2014-03-23 00:00:00",13936,,
"2014-03-24 00:00:00",11368,,
"2014-03-25 00:00:00",10648,,
"2014-03-26 00:00:00",10810,,
"2014-03-27 00:00:00",10291,,
"2014-03-28 00:00:00",12008,,
"2014-03-29 00:00:00",12051,,
"2014-03-30 00:00:00",11414,,
"2014-03-31 00:00:00",9049,,
"2014-04-01 00:00:00",10266,,
"2014-04-02 00:00:00",8480,,
"2014-04-03 00:00:00",8518,,
"2014-04-04 00:00:00",9989,,
"2014-04-05 00:00:00",10270,,
"2014-04-06 00:00:00",10021,,
"2014-04-07 00:00:00",8339,,
"2014-04-08 00:00:00",8169,,
"2014-04-09 00:00:00",7866,,
"2014-04-10 00:00:00",7941,,
"2014-04-11 00:00:00",9328,,
"2014-04-12 00:00:00",10308,,
"2014-04-13 00:00:00",9889,,
"2014-04-14 00:00:00",8072,,
"2014-04-15 00:00:00",8040,,
"2014-04-16 00:00:00",7746,,
"2014-04-17 00:00:00",8344,,
"2014-04-18 00:00:00",8564,,
"2014-04-19 00:00:00",8733,,
"2014-04-20 00:00:00",8750,,
"2014-04-21 00:00:00",7849,,
"2014-04-22 00:00:00",7223,,
"2014-04-23 00:00:00",6778,,
"2014-04-24 00:00:00",6761,,
"2014-04-25 00:00:00",7664,,
"2014-04-26 00:00:00",8192,,
"2014-04-27 00:00:00",7959,,
"2014-04-28 00:00:00",6320,,
"2014-04-29 00:00:00",6215,,
"2014-04-30 00:00:00",6769,,
"2014-05-01 00:00:00",8630,,
"2014-05-02 00:00:00",7531,,
"2014-05-03 00:00:00",7754,,
"2014-05-04 00:00:00",7564,,
"2014-05-05 00:00:00",6062,,
"2014-05-06 00:00:00",6068,,
"2014-05-07 00:00:00",6039,,
